ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
67,,,3,2,109,3,,,15,1710,1
68,,,3,3,158,3,,,6,1878,1
69,,,4,2,231,4,,,6,2512,1
70,,,3,5,206,3,,,39,2929,1
71,,,5,1,187,4,,,14,3849,1
72,,,5,5,230,2,,,2,2229,1
73,,,5,5,232,3,,,33,2998,1
74,,,4,5,215,3,,,21,3984,1
75,,,6,1,238,6,,,13,2442,1
76,,,4,1,266,3,,,23,3775,1
77,,,2,3,158,2,,,36,1788,1
78,,,3,3,113,3,,,43,1518,1
79,,,3,4,223,3,,,18,3959,1
80,,,3,5,257,2,,,56,3711,1
81,,,3,4,180,2,,,49,1942,1
82,,,2,5,132,3,,,18,1759,1
83,,,4,4,217,3,,,26,2875,1
84,,,5,5,162,3,,,31,1364,1
85,,,4,5,197,2,,,40,2710,1
86,,,3,4,197,3,,,13,2148,1
87,,,4,1,185,2,,,44,2910,1
88,,,6,2,278,3,,,3,2974,1
89,,,3,3,229,3,,,49,2339,1
90,,,4,1,186,4,,,57,3880,1
91,,,5,3,174,6,,,41,1085,1
92,,,5,5,286,3,,,18,3163,1
93,,,4,4,175,2,,,7,1188,1
94,,,3,3,219,3,,,17,3387,1
95,,,4,1,213,4,,,35,2343,1
96,,,2,3,235,3,,,57,2034,1
97,,,3,3,149,2,,,18,1225,1
98,,,4,1,271,2,,,8,2401,1
99,,,3,5,144,4,,,5,1104,1
100,,,4,2,145,2,,,21,1617,1
101,,,5,3,143,2,,,59,1837,1
102,,,5,5,227,4,,,53,2624,1
103,,,2,1,213,3,,,29,2732,1
104,,,5,1,144,4,,,37,1658,1
105,,,3,3,218,3,,,3,2255,1
106,,,4,2,144,3,,,59,1588,1
107,,,3,1,238,3,,,17,2624,1
108,,,4,5,216,3,,,26,2053,1
109,,,4,5,238,3,,,55,3257,1
110,,,4,1,141,3,,,47,1250,1
111,,,3,1,158,2,,,2,1284,1
112,,,4,2,239,3,,,65,3679,1
113,,,4,3,175,2,,,25,1816,1
114,,,3,2,263,3,,,41,2817,1
115,,,3,5,168,2,,,50,1616,1
116,,,3,4,176,3,,,36,1779,1
117,,,4,1,150,4,,,60,1024,1
118,,,4,3,265,2,,,31,2326,1
119,,,2,5,263,3,,,5,2947,1
120,,,5,1,145,3,,,20,1387,1
121,,,4,2,183,3,,,33,2741,1
122,,,3,3,205,3,,,19,2167,1
123,,,4,2,160,3,,,64,1714,1
124,,,3,3,252,2,,,48,2102,1
125,,,5,5,222,3,,,10,2280,1
126,,,3,3,203,2,,,25,3607,1
127,,,4,5,220,3,,,40,3516,1
128,,,3,3,147,4,,,60,1722,1
129,,,4,4,200,4,,,16,2060,1
130,,,4,5,224,4,,,21,2026,1
131,,,3,5,179,2,,,17,1364,1
132,,,3,4,144,3,,,50,1865,1
133,,,5,2,247,3,,,17,3889,1
134,,,5,4,280,6,,,51,3582,1
135,,,3,3,168,2,,,1,1829,1
136,,,3,5,157,3,,,4,1889,1
137,,,3,3,189,4,,,51,2208,1
138,,,3,5,162,2,,,7,1739,1
139,,,4,1,207,5,,,48,2399,1
140,,,5,1,237,2,,,10,3860,1
141,,,4,4,264,3,,,59,2020,1
142,,,5,4,149,3,,,51,1645,1
143,,,5,5,162,3,,,41,1462,1
144,,,2,1,205,4,,,63,2156,1
145,,,2,1,158,3,,,51,1540,1
146,,,2,2,248,2,,,46,3707,1
147,,,3,5,191,3,,,23,3750,1
148,,,4,3,146,4,,,24,1844,1
149,,,3,3,135,3,,,56,1490,1
150,,,5,1,149,3,,,40,1062,1
151,,,4,4,220,2,,,7,2551,1
152,,,5,3,98,5,,,44,1269,1
153,,,3,4,97,4,,,32,1238,1
154,,,3,3,183,2,,,53,3932,1
155,,,3,3,162,3,,,8,1869,1
156,,,5,1,114,4,,,47,1443,1
157,,,6,3,275,5,,,41,2491,1
158,,,3,2,203,2,,,39,3845,1
159,,,5,5,205,2,,,65,3671,1
160,,,3,3,149,3,,,63,1946,1
161,,,2,2,112,4,,,56,1138,1
162,,,3,1,207,3,,,56,3482,1
163,,,4,1,261,4,,,58,3427,1
164,,,5,2,274,3,,,6,3375,1
165,,,3,5,141,2,,,52,1692,1
166,,,3,3,166,4,,,17,1498,1
167,,,5,2,141,3,,,34,1020,1
168,,,4,5,152,3,,,43,1709,1
169,,,4,2,250,3,,,53,2478,1
170,,,4,3,161,3,,,28,1809,1
171,,,4,3,185,3,,,10,2263,1
172,,,4,4,176,4,,,52,1096,1
173,,,3,4,148,3,,,56,1550,1
174,,,3,2,270,3,,,63,2751,1
175,,,3,3,242,3,,,51,3935,1
176,,,4,4,150,2,,,3,1285,1
177,,,4,5,192,3,,,20,3872,1
178,,,4,5,116,3,,,54,1314,1
179,,,3,3,192,3,,,2,3995,1
180,,,5,5,255,4,,,3,3440,1
181,,,4,1,161,7,,,18,1294,1
182,,,4,5,157,3,,,20,1487,1
183,,,3,2,164,10,,,28,1940,1
184,,,3,5,162,7,,,16,1052,1
185,,,3,3,146,2,,,50,1486,1
186,,,3,2,209,3,,,54,3001,1
187,,,5,4,134,2,,,55,1386,1
188,,,2,1,222,2,,,5,3778,1
189,,,2,5,139,3,,,27,1233,1
190,,,2,4,134,3,,,42,1415,1
191,,,2,5,130,3,,,16,1092,1
192,,,2,5,133,3,,,62,1596,1
193,,,2,4,140,3,,,7,1411,1
194,,,2,2,158,3,,,28,1968,1
195,,,4,2,270,4,,,46,1736,1
196,,,2,5,140,3,,,30,1030,1
197,,,2,2,135,3,,,15,1339,1
198,,,2,3,136,3,,,19,1568,1
199,,,2,3,142,3,,,38,7640,1
200,,,2,2,154,3,,,38,7846,1
201,,,2,3,139,3,,,9,1471,1
202,,,2,3,160,3,,,43,1251,1
203,,,2,4,134,3,,,58,1067,1
204,,,5,3,161,5,,,48,1883,1
205,,,2,5,155,3,,,23,1602,1
206,,,2,3,145,3,,,24,7588,1
207,,,2,2,157,3,,,1,1477,1
208,,,2,2,160,3,,,48,1691,1
209,,,2,4,152,3,,,55,1498,1
210,,,2,5,148,3,,,11,1502,1
211,,,2,1,127,3,,,15,1522,1
212,,,2,5,154,3,,,21,1113,1
213,,,2,5,127,3,,,44,1341,1
214,,,2,5,160,3,,,31,7401,1
215,,,2,4,129,3,,,48,1219,1
216,,,2,5,158,3,,,40,1722,1
217,,,4,3,185,3,,,3,3131,1
218,,,4,4,176,4,,,63,1293,1
219,,,3,4,148,3,,,37,1523,1
220,,,3,5,270,3,,,60,3885,1
221,,,3,4,242,3,,,29,2381,1
222,,,4,3,150,2,,,31,1588,1
223,,,4,2,192,3,,,4,2061,1
224,,,4,5,116,3,,,9,1314,1
225,,,3,4,192,3,,,31,3331,1
226,,,5,4,255,4,,,38,2771,1
227,,,4,3,161,7,,,63,1496,1
228,,,4,2,157,3,,,48,1393,1
229,,,3,2,164,10,,,14,1375,1
230,,,3,3,162,7,,,42,1278,1
231,,,3,1,146,2,,,54,1528,1
232,,,3,4,209,3,,,60,2240,1
233,,,5,5,134,2,,,53,1088,1
234,,,2,1,222,2,,,58,3626,1
235,,,2,1,139,3,,,39,1582,1
236,,,2,2,134,3,,,38,1352,1
237,,,2,3,130,3,,,48,1801,1
238,,,2,2,133,3,,,5,1268,1
239,,,2,3,140,3,,,23,1372,1
240,,,2,3,158,3,,,10,1515,1
241,,,4,5,270,4,,,65,1818,1
242,,,2,4,140,3,,,33,1278,1
243,,,2,2,135,3,,,58,1734,1
244,,,2,4,136,3,,,43,1958,1
245,,,2,1,142,3,,,8,6064,1
246,,,2,4,154,3,,,48,7684,1
247,,,2,3,139,3,,,3,1788,1
248,,,2,4,160,3,,,50,1030,1
249,,,2,2,134,3,,,38,1530,1
250,,,5,5,161,5,,,54,1511,1
251,,,2,3,155,3,,,45,1639,1
252,,,2,2,145,3,,,5,6102,1
253,,,2,1,157,3,,,58,1930,1
254,,,2,5,160,3,,,19,1399,1
255,,,2,2,152,3,,,61,1800,1
256,,,2,2,148,3,,,35,1349,1
257,,,2,2,127,3,,,13,1128,1
258,,,2,2,129,3,,,22,6614,1
259,,,2,3,158,3,,,13,1245,1
260,,,2,4,147,3,,,5,1920,1
261,,,2,5,159,3,,,49,1621,1
262,,,2,3,151,3,,,23,1930,1
263,,,3,1,294,4,,,52,1089,1
264,,,3,2,226,2,,,45,1446,1
265,,,5,3,271,5,,,9,1813,1
266,,,7,2,203,5,,,61,1856,1
267,,,2,3,264,4,,,10,1648,1
268,,,4,1,258,3,,,36,2211,1
269,,,3,5,241,3,,,21,3078,1
270,,,4,5,208,3,,,23,2056,1
271,,,3,2,209,5,,,12,3054,1
272,,,5,1,182,2,,,23,2707,1
273,,,4,5,148,2,,,43,1087,1
274,,,2,3,183,2,,,52,3199,1
275,,,3,5,229,6,,,22,2717,1
276,,,5,5,115,5,,,26,1692,1
277,,,4,2,136,3,,,65,1962,1
278,,,4,4,212,3,,,21,3307,1
279,,,4,3,171,3,,,24,1304,1
280,,,3,1,151,2,,,60,1925,1
281,,,3,1,205,3,,,39,3062,1
282,,,5,4,147,3,,,23,1132,1
283,,,3,3,155,3,,,29,1712,1
284,,,5,4,165,3,,,20,1150,1
285,,,5,5,230,3,,,32,3249,1
286,,,2,4,181,4,,,13,2309,1
287,,,5,3,234,2,,,55,3308,1
288,,,4,4,149,3,,,34,1977,1
289,,,5,5,156,2,,,44,1561,1
290,,,4,2,172,3,,,59,1858,1
291,,,4,4,270,3,,,12,3279,1
292,,,4,1,206,3,,,23,3807,1
293,,,4,3,211,4,,,40,3106,1
294,,,3,2,136,4,,,62,1090,1
295,,,5,1,186,2,,,52,3981,1
296,,,3,1,202,2,,,62,3398,1
297,,,4,2,183,3,,,12,3646,1
298,,,4,4,232,2,,,36,2861,1
299,,,4,2,147,4,,,52,1129,1
300,,,4,3,136,3,,,20,1531,1
301,,,5,3,127,3,,,43,1446,1
302,,,4,5,202,2,,,35,3695,1
303,,,3,4,241,2,,,57,3671,1
304,,,4,3,222,2,,,55,3833,1
305,,,3,2,183,4,,,12,2777,1
306,,,4,4,249,3,,,36,3769,1
307,,,3,1,243,4,,,59,3838,1
308,,,3,3,163,3,,,9,1257,1
309,,,4,2,165,2,,,11,1596,1
310,,,5,5,266,3,,,53,3089,1
311,,,3,4,193,2,,,48,3909,1
312,,,3,2,154,3,,,56,1136,1
313,,,3,3,140,3,,,51,1046,1
314,,,4,3,272,3,,,38,3705,1
315,,,4,2,143,6,,,20,1654,1
316,,,4,2,138,3,,,30,1805,1
317,,,4,2,238,2,,,17,3358,1
318,,,4,5,273,4,,,31,2373,1
319,,,3,1,200,2,,,27,2551,1
320,,,4,5,213,4,,,39,2381,1
321,,,3,4,224,2,,,15,2701,1
322,,,4,5,141,3,,,12,1672,1
323,,,3,3,150,3,,,46,1040,1
324,,,3,1,192,2,,,33,2818,1
325,,,5,1,279,4,,,24,3440,1
326,,,3,4,246,3,,,30,3748,1
327,,,3,4,173,3,,,52,1587,1
328,,,4,4,233,4,,,59,2358,1
329,,,5,1,274,2,,,24,2423,1
330,,,4,5,243,4,,,41,2782,1
331,,,3,4,197,3,,,56,3427,1
332,,,4,3,140,3,,,46,1072,1
333,,,3,5,215,3,,,22,2585,1
334,,,3,4,211,3,,,8,3710,1
335,,,4,2,220,5,,,33,2854,1
336,,,3,1,194,4,,,64,2026,1
337,,,5,1,262,3,,,58,3599,1
338,,,4,4,201,2,,,1,3147,1
339,,,3,5,261,3,,,15,2989,1
340,,,4,4,191,6,,,60,3425,1
341,,,2,5,255,5,,,53,3775,1
342,,,3,2,169,2,,,30,1698,1
343,,,4,5,162,2,,,64,1918,1
344,,,2,5,248,6,,,62,2750,1
345,,,5,3,197,4,,,2,2222,1
346,,,5,1,264,3,,,6,2882,1
347,,,5,5,260,2,,,55,2791,1
348,,,5,3,186,2,,,58,2259,1
349,,,4,5,233,4,,,44,2551,1
350,,,5,1,161,3,,,47,1954,1
351,,,4,5,188,3,,,13,2409,1
352,,,5,5,171,2,,,22,1695,1
353,,,2,2,267,3,,,15,2481,1
354,,,4,3,255,2,,,47,2956,1
355,,,3,2,132,3,,,56,1303,1
356,,,5,1,266,3,,,31,3157,1
357,,,3,4,198,2,,,25,2774,1
358,,,2,3,247,2,,,62,3127,1
359,,,3,1,140,3,,,65,1291,1
360,,,4,3,131,5,,,6,1659,1
361,,,5,2,246,3,,,49,3236,1
362,,,3,2,159,3,,,4,1681,1
363,,,3,5,203,2,,,61,3642,1
364,,,4,3,187,4,,,29,3141,1
365,,,6,2,146,3,,,62,1936,1
366,,,3,2,234,3,,,39,2099,1
367,,,3,4,122,3,,,15,1354,1
368,,,3,3,135,3,,,8,1074,1
369,,,3,5,103,3,,,3,1403,1
370,,,3,5,257,3,,,19,2173,1
371,,,4,3,169,2,,,2,1399,1
372,,,4,5,159,3,,,18,1808,1
373,,,4,5,188,3,,,38,3031,1
374,,,5,1,136,3,,,19,1420,1
375,,,5,1,227,3,,,19,3007,1
376,,,3,5,262,2,,,53,3275,1
377,,,2,3,157,2,,,45,1965,1
378,,,5,3,238,2,,,21,2053,1
379,,,3,5,152,3,,,43,1282,1
380,,,3,2,201,3,,,5,2040,1
381,,,3,4,148,2,,,54,1778,1
382,,,5,2,199,4,,,59,2885,1
383,,,5,4,215,2,,,45,3501,1
384,,,4,5,175,2,,,40,1270,1
385,,,4,3,236,2,,,23,3123,1
386,,,2,5,182,2,,,57,2896,1
387,,,3,1,251,3,,,42,3698,1
388,,,5,2,173,3,,,7,1855,1
389,,,4,3,225,3,,,62,2587,1
390,,,4,2,167,4,,,20,1705,1
391,,,4,1,259,3,,,20,2154,1
392,,,4,1,178,3,,,63,1573,1
393,,,4,4,178,4,,,13,1614,1
394,,,5,4,169,2,,,20,1765,1
395,,,3,2,272,2,,,33,2321,1
396,,,4,4,183,3,,,29,3251,1
397,,,3,4,205,3,,,10,2728,1
398,,,2,1,123,4,,,53,1036,1
399,,,4,3,152,3,,,58,1453,1
400,,,3,1,220,2,,,40,3773,1
401,,,4,3,134,3,,,51,1965,1
402,,,3,2,217,2,,,19,2992,1
403,,,3,2,265,3,,,49,2791,1
404,,,4,2,249,5,,,36,3836,1
405,,,5,3,213,4,,,50,2003,1
406,,,2,2,124,3,,,56,1494,1
407,,,4,1,180,2,,,23,1193,1
408,,,4,5,193,3,,,65,2267,1
409,,,3,2,192,3,,,43,3339,1
410,,,2,5,166,3,,,3,1832,1
411,,,3,2,264,3,,,5,3861,1
412,,,3,4,200,2,,,14,3528,1
413,,,4,3,142,4,,,12,1396,1
414,,,4,1,215,2,,,32,3066,1
415,,,2,1,218,2,,,15,2745,1
416,,,3,2,115,3,,,27,1814,1
417,,,4,3,159,3,,,33,1330,1
418,,,5,5,133,3,,,63,1218,1
419,,,5,2,178,3,,,48,1517,1
420,,,4,2,134,2,,,43,1714,1
421,,,3,1,184,5,,,58,2544,1
422,,,4,2,251,2,,,24,2405,1
423,,,3,2,141,3,,,7,1933,1
424,,,4,4,229,2,,,45,3776,1
425,,,4,1,203,4,,,34,3813,1
426,,,4,3,158,3,,,57,1911,1
427,,,3,4,167,3,,,52,1755,1
428,,,5,4,197,4,,,40,3303,1
429,,,2,2,140,3,,,19,1806,1
430,,,5,1,205,2,,,27,3569,1
431,,,5,5,208,3,,,45,2018,1
432,,,4,2,96,3,,,22,1294,1
433,,,6,4,205,3,,,44,2064,1
434,,,4,2,215,3,,,48,2953,1
435,,,4,1,216,3,,,43,2643,1
436,,,3,1,112,2,,,22,1846,1
437,,,5,4,222,3,,,20,3632,1
438,,,5,2,186,3,,,15,2153,1
439,,,3,5,241,3,,,48,2841,1
440,,,3,3,172,3,,,58,1269,1
441,,,3,5,251,2,,,23,2426,1
442,,,5,3,190,3,,,45,2628,1
443,,,4,3,186,2,,,48,2805,1
444,,,4,4,207,2,,,35,2596,1
445,,,3,3,135,3,,,19,1366,1
446,,,4,4,189,2,,,18,2955,1
447,,,4,4,173,5,,,51,1691,1
448,,,3,4,194,3,,,3,2169,1
449,,,3,1,183,3,,,19,3018,1
450,,,4,3,140,2,,,22,1248,1
451,,,4,4,244,3,,,55,2782,1
452,,,2,3,189,4,,,34,3355,1
453,,,3,2,157,2,,,53,1390,1
454,,,4,1,275,10,,,23,2726,1
455,,,4,5,133,3,,,53,1467,1
456,,,4,1,149,3,,,54,1178,1
457,,,3,3,254,2,,,17,3153,1
458,,,3,4,145,8,,,15,1429,1
459,,,3,2,179,5,,,52,1991,1
460,,,5,2,168,3,,,26,1526,1
461,,,4,1,202,3,,,18,3940,1
462,,,3,4,220,7,,,43,2620,1
463,,,3,4,244,8,,,1,2703,1
464,,,4,2,186,7,,,40,3111,1
465,,,5,2,263,8,,,24,3139,1
466,,,3,2,294,4,,,15,1318,1
467,,,3,5,226,2,,,2,1043,1
468,,,4,4,173,5,,,2,1175,1
469,,,3,5,194,3,,,10,2277,1
470,,,3,5,183,3,,,2,3459,1
471,,,4,1,140,2,,,61,1770,1
472,,,4,3,244,3,,,8,3318,1
473,,,2,2,189,4,,,9,3413,1
474,,,3,1,157,2,,,39,1525,1
475,,,4,3,275,10,,,10,2093,1
476,,,4,5,133,3,,,59,1092,1
477,,,4,2,149,3,,,26,1863,1
478,,,3,4,254,2,,,41,3973,1
479,,,3,4,145,8,,,24,1594,1
480,,,3,5,179,5,,,56,1113,1
481,,,5,4,168,3,,,13,1317,1
482,,,4,5,202,3,,,46,3181,1
483,,,3,3,220,7,,,25,2141,1
484,,,3,2,244,8,,,50,3562,1
485,,,4,3,186,7,,,30,2062,1
486,,,5,5,263,8,,,9,2236,1
487,,,3,1,294,4,,,25,1498,1
488,,,4,1,139,3,,,56,1811,1
489,,,7,5,192,3,,,46,1550,1
490,,,3,3,235,3,,,5,3065,1
491,,,2,1,176,3,,,15,1996,1
492,,,5,4,224,3,,,34,2627,1
493,,,3,4,128,3,,,51,1524,1
494,,,5,4,226,5,,,47,2240,1
495,,,5,1,160,5,,,16,1526,1
496,,,3,1,197,5,,,45,2224,1
497,,,4,2,216,3,,,12,2273,1
498,,,4,4,199,2,,,9,3075,1
499,,,5,5,271,2,,,27,3957,1
500,,,5,1,201,3,,,47,2657,1
501,,,3,4,212,2,,,33,2021,1
502,,,3,2,177,3,,,10,1641,1
503,,,3,4,191,4,,,43,2903,1
504,,,3,2,174,3,,,30,1986,1
505,,,5,3,162,2,,,14,1045,1
506,,,3,1,219,2,,,39,2696,1
507,,,4,4,155,3,,,35,1421,1
508,,,5,3,230,3,,,3,2923,1
509,,,4,5,192,2,,,36,2497,1
510,,,5,2,235,3,,,14,2984,1
511,,,3,2,200,3,,,46,3642,1
512,,,5,2,172,3,,,65,1667,1
513,,,5,4,160,4,,,6,1603,1
514,,,5,3,250,5,,,12,2722,1
515,,,4,2,174,3,,,9,1682,1
516,,,3,2,204,3,,,54,3608,1
517,,,3,5,274,3,,,51,3476,1
518,,,5,5,262,2,,,62,3744,1
519,,,4,5,138,3,,,23,1785,1
520,,,3,1,215,3,,,2,3873,1
521,,,3,1,145,2,,,34,1773,1
522,,,4,5,149,2,,,56,1141,1
523,,,6,5,212,2,,,38,2359,1
524,,,3,1,155,3,,,47,1193,1
525,,,5,2,154,3,,,40,1238,1
526,,,3,3,249,3,,,51,2173,1
527,,,5,1,206,2,,,2,3490,1
528,,,4,5,235,3,,,22,2015,1
529,,,5,5,261,3,,,8,3257,1
530,,,6,1,243,4,,,22,3537,1
531,,,3,2,237,2,,,26,3103,1
532,,,2,4,179,2,,,19,1900,1
533,,,4,3,192,3,,,43,3498,1
534,,,3,1,141,3,,,39,1838,1
535,,,3,2,245,3,,,61,2188,1
536,,,4,4,177,4,,,32,1774,1
537,,,2,3,154,4,,,17,1897,1
538,,,4,4,228,3,,,12,3359,1
539,,,3,3,207,6,,,24,3702,1
540,,,4,4,266,4,,,33,2701,1
541,,,3,3,172,3,,,42,1707,1
542,,,4,3,142,3,,,35,1512,1
543,,,4,5,218,3,,,40,3200,1
544,,,3,3,231,2,,,46,2962,1
545,,,4,2,180,3,,,47,1434,1
546,,,3,1,168,3,,,46,1886,1
547,,,5,5,147,4,,,42,1642,1
548,,,5,4,245,5,,,6,3592,1
549,,,2,4,182,3,,,47,3792,1
550,,,3,4,176,3,,,8,1567,1
551,,,5,3,197,4,,,51,2917,1
552,,,3,5,233,3,,,52,3519,1
553,,,3,4,156,2,,,8,1145,1
554,,,2,3,257,4,,,52,2073,1
555,,,5,4,250,3,,,11,3373,1
556,,,5,4,189,5,,,3,3301,1
557,,,3,3,255,2,,,7,3311,1
558,,,2,3,198,2,,,28,3514,1
559,,,4,2,164,3,,,15,1489,1
560,,,5,2,271,3,,,32,3785,1
561,,,3,1,185,2,,,34,3299,1
562,,,2,5,157,6,,,17,1764,1
563,,,3,2,137,2,,,17,1673,1
564,,,3,3,229,3,,,14,2164,1
565,,,3,3,234,2,,,39,2449,1
566,,,4,3,216,2,,,52,3578,1
567,,,3,1,163,4,,,20,1940,1
568,,,5,2,268,3,,,19,2526,1
569,,,3,3,205,5,,,35,2988,1
570,,,4,5,265,2,,,18,2969,1
571,,,2,2,236,3,,,3,3416,1
572,,,4,1,132,3,,,63,1901,1
573,,,3,4,234,2,,,46,3108,1
574,,,4,3,108,6,,,22,1745,1
575,,,4,2,276,2,,,54,3706,1
576,,,4,2,179,4,,,1,1063,1
577,,,4,1,230,3,,,40,2225,1
578,,,3,2,210,3,,,43,2096,1
579,,,3,2,173,3,,,15,1992,1
580,,,2,5,201,3,,,29,3894,1
581,,,3,3,214,2,,,21,3342,1
582,,,4,2,216,2,,,22,3024,1
583,,,2,5,144,3,,,61,1313,1
584,,,5,5,182,3,,,27,3039,1
585,,,3,3,163,2,,,48,1369,1
586,,,3,3,234,3,,,8,2334,1
587,,,3,2,158,3,,,59,1307,1
588,,,3,5,194,2,,,4,3496,1
589,,,3,1,201,6,,,3,2497,1
590,,,3,2,178,2,,,59,1933,1
591,,,4,1,214,5,,,51,2669,1
592,,,3,3,281,2,,,55,3047,1
593,,,3,2,260,3,,,2,2176,1
594,,,3,2,200,2,,,46,3174,1
595,,,5,3,209,2,,,49,2581,1
596,,,3,1,185,3,,,61,3280,1
597,,,4,3,230,3,,,62,2236,1
598,,,3,4,134,3,,,31,1540,1
599,,,4,5,270,2,,,34,2821,1
600,,,4,1,140,3,,,1,1464,1
601,,,6,3,133,5,,,32,1367,1
602,,,3,4,145,3,,,44,1218,1
603,,,4,3,206,3,,,58,2135,1
604,,,3,1,162,2,,,52,1125,1
605,,,4,3,187,2,,,58,3665,1
606,,,4,4,166,5,,,54,1203,1
607,,,4,5,178,3,,,48,1819,1
608,,,3,1,167,2,,,34,1967,1
609,,,4,4,224,3,,,60,3145,1
610,,,4,4,158,3,,,11,1224,1
611,,,3,4,134,2,,,43,1198,1
612,,,4,2,147,2,,,20,1387,1
613,,,4,3,187,3,,,61,2207,1
614,,,4,5,247,2,,,18,2404,1
615,,,5,4,182,4,,,20,2212,1
616,,,4,1,177,4,,,33,1049,1
617,,,5,5,143,2,,,18,1066,1
618,,,5,3,245,2,,,8,3231,1
619,,,4,1,133,4,,,64,1834,1
620,,,3,5,224,2,,,13,3891,1
621,,,2,5,265,2,,,50,3859,1
622,,,4,1,138,2,,,28,1528,1
623,,,3,4,253,3,,,6,3788,1
624,,,4,1,165,3,,,51,1293,1
625,,,4,3,265,3,,,65,3578,1
626,,,3,2,238,3,,,54,3142,1
627,,,5,2,236,3,,,51,3402,1
628,,,4,2,190,5,,,38,3022,1
629,,,6,1,104,4,,,23,1442,1
630,,,4,5,245,2,,,19,2616,1
631,,,3,1,155,3,,,27,1022,1
632,,,3,2,233,3,,,63,2143,1
633,,,4,3,171,4,,,55,1539,1
634,,,2,3,164,2,,,56,1491,1
635,,,3,1,141,3,,,6,1361,1
636,,,5,3,266,2,,,61,2118,1
637,,,3,4,192,2,,,56,3765,1
638,,,3,3,229,6,,,61,2298,1
639,,,6,2,269,4,,,38,3171,1
640,,,3,4,247,4,,,59,2939,1
641,,,4,4,157,2,,,2,1087,1
642,,,3,2,148,3,,,64,1280,1
643,,,4,1,240,2,,,14,2437,1
644,,,4,3,197,4,,,58,3617,1
645,,,6,4,121,5,,,23,1734,1
646,,,4,2,124,3,,,60,1107,1
647,,,4,2,153,3,,,53,1185,1
648,,,5,2,105,4,,,1,1622,1
649,,,4,3,202,3,,,2,3962,1
650,,,5,4,162,2,,,54,1635,1
651,,,3,4,164,3,,,13,1158,1
652,,,3,2,231,4,,,48,3370,1
653,,,5,2,209,4,,,12,2933,1
654,,,3,1,157,2,,,19,1898,1
655,,,4,5,249,2,,,4,2725,1
656,,,2,3,264,2,,,63,2896,1
657,,,3,1,111,4,,,61,1844,1
